Row_No,DBMS,IM,CF,MG,RAM_Size,Gen,GM,IC,DB_Size,QNo,AGG,SQ,NumJoins,NumFTAtts,NumAllAtts,NumAllTbl,NumDsTbl,CW,OB,HDT,DHT,PF,NumIK,KT,KU,ET,ETN,OV
122,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q12,T,F,1.0,5.0,7.0,2.0,2.0,T,T,356.938,89.6,0,114,62285.649999999994,,69699,478.55144,404.07934
123,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q13,T,T,1.0,0.0,6.0,2.0,2.0,F,T,149.667,59.971,0,71,475069.48,,467763,896.72506,412.04531
124,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q14,T,F,1.0,4.0,6.0,2.0,2.0,T,F,408.746,102.24,0,72,14466.13,,21802,439.51479,412.95231
125,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q15,T,T,1.0,4.0,8.0,2.0,2.0,F,T,292.353,79.297,0,104,13867.46,,20228,432.93664,407.95636
126,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q16,T,T,1.0,0.0,8.0,3.0,3.0,F,T,575.054,229.763,0,329,93674.62999999999,,108330,523.95039,412.05778
127,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q17,T,T,2.0,3.0,6.0,3.0,2.0,F,F,357.703,48.864,0,41,48980.04,,56097,463.94231,404.07546
128,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q18,T,T,2.0,2.0,8.0,4.0,3.0,F,T,418.603,177.828,0,192,76291.09,,85513,492.49399,401.63044
129,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q19,T,F,1.0,6.0,10.0,2.0,2.0,F,F,810.639,241.254,0,169,127731.17000000001,,142993,549.73981,404.91727
130,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q20,T,T,2.0,3.0,17.0,5.0,5.0,F,T,602.256,216.803,0,248,37065.56,,48639,458.33633,404.38321
131,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q21,T,T,3.0,4.0,16.0,6.0,4.0,F,T,10584.37,1289.377,453769,1565,49290497.868,,48236986,50821.774621,424.166076
132,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q22,T,T,0.0,0.0,4.0,3.0,2.0,F,T,,,,,,,,,
133,BlazingSQL,T,T,F,64,1080ti,11,-,4,Q1,T,F,0.0,7.0,7.0,1.0,1.0,F,T,482.401,95.968,121,140,121985.70999999999,,142538,563.81674,411.97393
134,BlazingSQL,T,T,F,64,1080ti,11,-,4,Q2,T,T,8.0,0.0,16.0,10.0,5.0,F,T,582.144,268.992,44,295,43220.49,,65959,485.16036,424.2178
135,BlazingSQL,T,T,F,64,1080ti,11,-,4,Q3,T,F,2.0,4.0,10.0,3.0,3.0,F,T,478.721,159.169,75,165,55801.76,,53739,491.95736,422.3246
136,BlazingSQL,T,T,F,64,1080ti,11,-,4,Q4,T,T,0.0,3.0,7.0,2.0,2.0,F,T,324.272,138.918,0,165,90099.63,,101535,520.9117,418.16927
137,BlazingSQL,T,T,F,64,1080ti,11,-,4,Q5,T,F,5.0,4.0,16.0,6.0,6.0,F,T,460.308,152.844,21,165,60912.799999999996,,56259,525.26909,415.23226
138,BlazingSQL,T,T,F,64,1080ti,11,-,4,Q6,T,F,0.0,4.0,4.0,1.0,1.0,F,F,257.805,62.307,28,44,48137.82,,44736,475.67783,417.78098
139,BlazingSQL,T,T,F,64,1080ti,11,-,4,Q7,T,T,5.0,5.0,15.0,6.0,5.0,F,T,729.712,311.369,54,266,131356.43,,130717.99999999999,567.86269,417.85853
140,BlazingSQL,T,T,F,64,1080ti,11,-,4,Q8,T,T,7.0,5.0,19.0,8.0,8.0,T,T,780.505,244.073,6,238,56489.469999999994,,57774,490.69367,415.71479
141,BlazingSQL,T,T,F,64,1080ti,11,-,4,Q9,T,T,5.0,6.0,16.0,6.0,6.0,F,T,409.807,160.132,302,157,303118.24,,297838,731.89146,414.564
142,BlazingSQL,T,T,F,64,1080ti,11,-,4,Q10,T,F,3.0,4.0,16.0,4.0,4.0,F,T,518.951,584.48938,48,281,115914.54000000001,,117734,584.48938,416.94547
143,BlazingSQL,T,T,F,64,1080ti,11,-,4,Q11,T,T,4.0,0.0,8.0,6.0,3.0,F,T,,,,,,,,,
144,BlazingSQL,T,T,F,64,1080ti,11,-,4,Q12,T,F,1.0,5.0,7.0,2.0,2.0,T,T,358.118,86.753,18,114,133595.09,,131048,570.60726,424.55623
145,BlazingSQL,T,T,F,64,1080ti,11,-,4,Q13,T,T,1.0,0.0,6.0,2.0,2.0,F,T,149.634,57.472,0,71,950843.86,,953194,1362.604475,402.20367
