Row_No,DBMS,IM,CF,MG,RAM_Size,Gen,GM,DB_Size,BS,QNo,AGG,SQ,NumJoins,NumFTAtts,NumAllAtts,NumAllTbl,NumDsTbl,CW,OB,HDT,DHT,PF,NumIK,KT,ET
119,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q9,T,T,5,6,16,6,6,F,T,410.093,153.668,0,162,144703.81,151911
120,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q10,T,F,3,4,16,4,4,F,T,536.176,214.66,0,279,50192.28,60746
121,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q11,T,T,4,0,8,6,3,F,T,,,,,,
122,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q12,T,F,1,5,7,2,2,T,T,356.938,89.6,0,114,62285.65,69699
123,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q13,T,T,1,0,6,2,2,F,T,149.667,59.971,0,71,475069.48,467763
124,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q14,T,F,1,4,6,2,2,T,F,408.746,102.24,0,72,14466.13,21802
125,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q15,T,T,1,4,8,2,2,F,T,292.353,79.297,0,104,13867.46,20228
126,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q16,T,T,1,0,8,3,3,F,T,575.054,229.763,0,329,93674.63,108330
127,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q17,T,T,2,3,6,3,2,F,F,357.703,48.864,0,41,48980.04,56097
128,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q18,T,T,2,2,8,4,3,F,T,418.603,177.828,0,192,76291.09,85513
129,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q19,T,F,1,6,10,2,2,F,F,810.639,241.254,0,169,127731.17,142993
130,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q20,T,T,2,3,17,5,5,F,T,602.256,216.803,0,248,37065.56,48639
131,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q21,T,T,3,4,16,6,4,F,T,10584.37,1289.377,453769,1565,49290497.87,48236986
132,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q22,T,T,0,0,4,3,2,F,T,,,,,,
133,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q1,T,F,0,7,7,1,1,F,T,482.401,95.968,121,140,121985.71,142538
134,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q2,T,T,8,0,16,10,5,F,T,582.144,268.992,44,295,43220.49,65959
135,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q3,T,F,2,4,10,3,3,F,T,478.721,159.169,75,165,55801.76,53739
136,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q4,T,T,0,3,7,2,2,F,T,324.272,138.918,0,165,90099.63,101535
137,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q5,T,F,5,4,16,6,6,F,T,460.308,152.844,21,165,60912.8,56259
138,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q6,T,F,0,4,4,1,1,F,F,257.805,62.307,28,44,48137.82,44736
139,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q7,T,T,5,5,15,6,5,F,T,729.712,311.369,54,266,131356.43,130718
140,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q8,T,T,7,5,19,8,8,T,T,780.505,244.073,6,238,56489.47,57774
141,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q9,T,T,5,6,16,6,6,F,T,409.807,160.132,302,157,303118.24,297838
142,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q10,T,F,3,4,16,4,4,F,T,518.951,584.48938,48,281,115914.54,117734
143,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q11,T,T,4,0,8,6,3,F,T,,,,,,
144,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q12,T,F,1,5,7,2,2,T,T,358.118,86.753,18,114,133595.09,131048
145,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q13,T,T,1,0,6,2,2,F,T,149.634,57.472,0,71,950843.86,953194
146,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q14,T,F,1,4,6,2,2,T,F,408.421,111.3,12,72,38978.27,35573
147,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q15,T,T,1,4,8,2,2,F,T,291.364,101.537,20,106,38197.44,33496
148,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q16,T,T,1,0,8,3,3,F,T,572.547,235.527,24,326,248172.25,254839
149,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q17,T,T,2,3,6,3,2,F,F,347.206,48.259,0,41,103741.17,109949
150,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q18,T,T,2,2,8,4,3,F,T,436.648,172.649,0,196,170129.48,171645
151,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q19,T,F,1,6,10,2,2,F,F,809.59,278.506,120,169,272801.74,280458
152,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q20,T,T,2,3,17,5,5,F,T,594.891,233.989,39,247,84275.19,85414
153,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q21,T,T,3,4,16,6,4,F,T,13680.738,1274.649,1382617,1571,157688895.1,152714021
154,BlazingSQL,T,T,F,64,1080ti,11,4,484,Q22,T,T,0,0,4,3,2,F,T,,,,,,
155,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q1,T,F,0,7,7,1,1,F,T,473.46,96.961,136,140,232717.06,264884
156,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q2,T,T,8,0,16,10,5,F,T,592.528,259.623,0,294,82972.25,109822
157,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q3,T,F,2,4,10,3,3,F,T,476.811,154.948,0,167,90727.37,98668
158,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q4,T,T,0,3,7,2,2,F,T,323.464,141.828,23,165,192856.01,197386
159,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q5,T,F,5,4,16,6,6,F,T,462.35,172.706,0,165,100842.21,101544
160,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q6,T,F,0,4,4,1,1,F,F,257.571,65.313,0,44,78235.75,82888
161,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q7,T,T,5,5,15,6,5,F,T,699.76,306.248,0,266,241675.4,149195
162,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q8,T,T,7,5,19,8,8,T,T,781.111,226.375,0,236,91702.37,97558
163,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q9,T,T,5,6,16,6,6,F,T,421.675,159.205,315,157,614095.33,598164
164,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q10,T,F,3,4,16,4,4,F,T,517.133,216.964,4,283,234659,236092
165,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q11,T,T,4,0,8,6,3,F,T,,,,,,
166,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q12,T,F,1,5,7,2,2,T,T,359.56,86.051,74,114,250791.64,258340
167,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q13,T,T,1,0,6,2,2,F,T,150.501,64.033,104,71,1909335.444,1902737
168,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q14,T,F,1,4,6,2,2,T,F,412.908,113.633,0,72,58169.1,64701
169,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q15,T,T,1,4,8,2,2,F,T,293.129,88.129,0,108,56008.7,60729
170,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q16,T,T,1,0,8,3,3,F,T,586.576,229.321,231,328,547147.23,537837
171,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q17,T,T,2,3,6,3,2,F,F,357.769,55.168,0,41,212994.93,219118
172,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q18,T,T,2,2,8,4,3,F,T,419.303,197.924,256,195,353099.84,335624
173,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q19,T,F,1,6,10,2,2,F,F,845.907,325.804,445,169,546131.05,546680
174,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q20,T,T,2,3,17,5,5,F,T,603.533,236.55,0,258,149548,160001
175,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q21,T,T,3,4,16,6,4,F,T,,,,,,
176,BlazingSQL,T,T,F,64,1080ti,11,8,484,Q22,T,T,0,0,4,3,2,F,T,,,,,,
177,BlazingSQL,T,T,F,48,1080ti,11,1,484,Q1,T,F,0,7,7,1,1,F,T,467.378,94.371,0,140,28889.02,51622
178,BlazingSQL,T,T,F,48,1080ti,11,1,484,Q2,T,T,8,0,16,10,5,F,T,574.512,240.868,0,281,10795.91,33450
179,BlazingSQL,T,T,F,48,1080ti,11,1,484,Q3,T,F,2,4,10,3,3,F,T,449.199,154.34,0,161,12656.8,27157
